Yield_mean,Predicted_Yield,Prediction_Uncertainty,Crop_type,FIELDID,Week
2.91,3.0180182,0.3185499,Maize,FS105555,21
2.91,3.081691,0.322707,Maize,FS105555,23
2.91,4.0209017,0.44604003,Maize,FS105555,26
2.91,3.7296076,0.39223152,Maize,FS105555,28
2.91,3.1722536,0.48254535,Maize,FS105555,30
2.91,3.9149234,0.39568102,Maize,FS105555,31
2.91,3.224431,0.35084805,Maize,FS105555,33
2.91,2.8965757,0.43243042,Maize,FS105555,40
2.91,3.20648,0.36781248,Maize,FS105555,42
2.91,3.8975775,0.3350556,Maize,FS105555,47
2.91,3.0756135,0.33183748,Maize,FS105555,50
6.05,5.836687,0.30878818,Maize,FS105555,7
6.05,5.880375,0.2954004,Maize,FS105555,9
6.05,5.994235,0.25342432,Maize,FS105555,10
6.05,6.400506,0.288769,Maize,FS105555,14
6.05,6.318548,0.26860237,Maize,FS105555,17
6.05,6.0901155,0.2927259,Maize,FS105555,21
6.05,5.5012193,0.37416402,Maize,FS105555,24
6.05,5.963845,0.29515678,Maize,FS105555,26
6.05,5.910962,0.3386631,Maize,FS105555,27
6.05,5.8824425,0.28555176,Maize,FS105555,29
6.05,5.1345,0.5896408,Maize,FS105555,33
6.05,5.7566557,0.30720338,Maize,FS105555,34
6.05,5.7785435,0.3524363,Maize,FS105555,36
6.05,5.6843987,0.36976394,Maize,FS105555,39
6.05,6.0432286,0.26836503,Maize,FS105555,45
6.05,5.8388886,0.39311993,Maize,FS105555,46
6.05,6.055976,0.23930222,Maize,FS105555,50
6.05,5.3199177,0.4631819,Maize,FS105555,52
1.85,2.9507525,0.77426386,Maize,FS105754,6
1.85,3.8564904,0.5899561,Maize,FS105754,7
1.85,3.7799976,0.79624933,Maize,FS105754,11
1.85,4.211131,0.59953266,Maize,FS105754,14
1.85,4.113314,1.0132357,Maize,FS105754,19
1.85,4.8332343,0.87297654,Maize,FS105754,21
1.85,4.6706614,0.7184967,Maize,FS105754,24
1.85,4.6556077,1.620495,Maize,FS105754,26
1.85,3.878297,0.8886582,Maize,FS105754,30
1.85,4.00892,0.7563705,Maize,FS105754,33
1.85,3.600281,0.7778369,Maize,FS105754,35
1.85,3.4713264,0.9259592,Maize,FS105754,36
1.85,3.3075297,0.6051365,Maize,FS105754,38
1.85,3.5565567,0.6663173,Maize,FS105754,40
1.85,3.3884382,0.6874893,Maize,FS105754,42
1.85,3.2076855,0.77781105,Maize,FS105754,48
1.85,3.994906,1.0977648,Maize,FS105754,52
2.08,2.3048882,0.40706107,Maize,FS105754,3
2.08,3.0134993,0.38111213,Maize,FS105754,19
2.08,3.7590168,0.40120617,Maize,FS105754,20
2.08,4.1490407,0.6957011,Maize,FS105754,22
2.08,3.6187758,0.4737207,Maize,FS105754,26
2.08,3.985672,0.45497864,Maize,FS105754,27
2.08,3.8398972,0.8930086,Maize,FS105754,29
2.08,3.0967255,0.52884156,Maize,FS105754,32
2.08,2.4688706,0.44904208,Maize,FS105754,36
2.08,2.5568693,0.47701836,Maize,FS105754,38
2.08,2.136273,0.482322,Maize,FS105754,39
2.08,2.2189891,0.4165942,Maize,FS105754,41
2.08,2.285979,0.4628499,Maize,FS105754,43
2.08,2.8551059,0.51199645,Maize,FS105754,48
4.02,4.535536,0.18867837,Maize,FS105847,6
4.02,4.7519717,0.21465816,Maize,FS105847,8
4.02,4.8879304,0.2297567,Maize,FS105847,10
4.02,5.20804,0.3475267,Maize,FS105847,13
4.02,5.010044,0.24761601,Maize,FS105847,16
4.02,4.478379,0.24454202,Maize,FS105847,18
4.02,4.490784,0.25339934,Maize,FS105847,20
4.02,4.565747,0.2556346,Maize,FS105847,23
4.02,4.4619203,0.2784403,Maize,FS105847,25
4.02,4.605585,0.24016951,Maize,FS105847,28
4.02,4.204919,0.272541,Maize,FS105847,32
4.02,4.496641,0.26742545,Maize,FS105847,34
4.02,4.3955193,0.24519047,Maize,FS105847,35
4.02,4.2195134,0.180355,Maize,FS105847,37
4.02,4.340495,0.24739258,Maize,FS105847,39
4.02,4.307648,0.23964779,Maize,FS105847,42
4.02,4.392149,0.23740534,Maize,FS105847,47
4.02,4.841141,0.2781566,Maize,FS105847,51
5.0,4.9333086,0.20068672,Maize,FS105847,11
5.0,5.554097,0.22719844,Maize,FS105847,15
5.0,5.397082,0.1819504,Maize,FS105847,17
5.0,5.1094303,0.18713117,Maize,FS105847,18
5.0,5.005007,0.20990588,Maize,FS105847,20
5.0,4.891392,0.18851954,Maize,FS105847,23
5.0,4.9711204,0.2348929,Maize,FS105847,25
5.0,5.114252,0.24890484,Maize,FS105847,27
5.0,5.2034054,0.28789806,Maize,FS105847,30
5.0,5.267809,0.29445037,Maize,FS105847,34
5.0,5.5474725,0.3289123,Maize,FS105847,37
5.0,5.171193,0.30432972,Maize,FS105847,39
5.0,5.472687,0.3413506,Maize,FS105847,41
5.0,5.134685,0.2559901,Maize,FS105847,46
5.0,5.221957,0.2695632,Maize,FS105847,47
6.17,6.064636,0.25918573,Maize,FS105847,7
6.17,5.864377,0.25084585,Maize,FS105847,9
